year;airport;country;city;q1;q2;q3;q4;total;is_domestic;route_type;continent;origin_airport;origin_lat;origin_lon;dest_lat;dest_lon
2024;Stockholm Arlanda Airport;Spain;Malaga;114389.0;157660.0;174154.0;132318.0;578521;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;36.7647913;-4.4422005
2024;Stockholm Arlanda Airport;Spain;Palma;19081.0;120087.0;137516.0;51572.0;328256;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;39.5695818;2.6500745
2024;Stockholm Arlanda Airport;Spain;Sevilla;1763.0;1721.0;;;3484;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;37.3886303;-5.9953403
2024;Stockholm Arlanda Airport;Spain;Tenerife;38984.0;3991.0;;31341.0;74316;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;28.2935785;-16.6214471
2024;Stockholm Arlanda Airport;Spain;Valencia;1575.0;9087.0;9220.0;2830.0;22712;False;International;Europe;Stockholm Arlanda;59.6519;17.9186;39.4697065;-0.3763353
2024;Stockholm Arlanda Airport;Sweden;Arvidsjaur;10093.0;4342.0;7641.0;8990.0;31066;True;Domestic;Europe;Stockholm Arlanda;59.6519;17.9186;65.666667;19.25
2024;Stockholm Arlanda Airport;Sweden;Gällivare;9417.0;10326.0;11435.0;10245.0;41423;True;Domestic;Europe;Stockholm Arlanda;59.6519;17.9186;67.3;20.25
2024;Stockholm Arlanda Airport;Sweden;Göteborg;102214.0;104369.0;88652.0;100336.0;395571;True;Domestic;Europe;Stockholm Arlanda;59.6519;17.9186;57.7072326;11.9670171
2024;Stockholm Arlanda Airport;Sweden;Hagfors;5.0;;;;5;True;Domestic;Europe;Stockholm Arlanda;59.6519;17.9186;60.0297519;13.6518574
2024;Stockholm Arlanda Airport;Sweden;Halmstad;;;1079.0;;1079;True;Domestic;Europe;Stockholm Arlanda;59.6519;17.9186;56.6739826;12.8574827
2024;Stockholm Arlanda Airport;Sweden;Hemavan;9900.0;7860.0;6330.0;3011.0;27101;True;Domestic;Europe;Stockholm Arlanda;59.6519;17.9186;65.8152777;15.08528
2024;Stockholm Arlanda Airport;Sweden;Kalmar;;;987.0;;987;True;Domestic;Europe;Stockholm Arlanda;59.6519;17.9186;56.6628826;16.3662382
2024;Stockholm Arlanda Airport;Sweden;Kiruna;72324.0;44137.0;47596.0;52306.0;216363;True;Domestic;Europe;Stockholm Arlanda;59.6519;17.9186;67.8496111;20.30625
2024;Stockholm Arlanda Airport;Sweden;Kramfors;398.0;600.0;1143.0;1077.0;3218;True;Domestic;Europe;Stockholm Arlanda;59.6519;17.9186;62.916667;17.666667
2024;Stockholm Arlanda Airport;Sweden;Luleå;216447.0;228511.0;218713.0;237657.0;901328;True;Domestic;Europe;Stockholm Arlanda;59.6519;17.9186;65.5831187;22.1459535
2024;Stockholm Arlanda Airport;Sweden;Lycksele;379.0;74.0;551.0;564.0;1568;True;Domestic;Europe;Stockholm Arlanda;59.6519;17.9186;64.6;18.166667
2024;Stockholm Arlanda Airport;Sweden;Malmö;65051.0;59211.0;44620.0;55674.0;224556;True;Domestic;Europe;Stockholm Arlanda;59.6519;17.9186;55.6052931;13.0001566
2024;Stockholm Arlanda Airport;Sweden;Mora;75.0;;;11.0;86;True;Domestic;Europe;Stockholm Arlanda;59.6519;17.9186;61.0086787;14.5442519
2024;Stockholm Arlanda Airport;Sweden;Norrköping;;;16.0;;16;True;Domestic;Europe;Stockholm Arlanda;59.6519;17.9186;58.5909124;16.1903511
2024;Stockholm Arlanda Airport;Sweden;Nyköping;1.0;;3.0;;4;True;Domestic;Europe;Stockholm Arlanda;59.6519;17.9186;58.7545409;17.0120656
2024;Stockholm Arlanda Airport;Sweden;Ronneby;12105.0;14062.0;10427.0;5988.0;42582;True;Domestic;Europe;Stockholm Arlanda;59.6519;17.9186;56.2100417;15.2760355
2024;Stockholm Arlanda Airport;Sweden;Skellefteå;71214.0;72298.0;65244.0;73277.0;282033;True;Domestic;Europe;Stockholm Arlanda;59.6519;17.9186;64.7520185;20.959339
2024;Stockholm Arlanda Airport;Sweden;Stockholm;2252.0;1521.0;1484.0;1722.0;6979;True;Domestic;Europe;Stockholm Arlanda;59.6519;17.9186;59.3251172;18.0710935
2024;Stockholm Arlanda Airport;Sweden;Sundsvall Härnösand;11025.0;14577.0;9945.0;6471.0;42018;True;Domestic;Europe;Stockholm Arlanda;59.6519;17.9186;62.5278157;17.4406275
2024;Stockholm Arlanda Airport;Sweden;Sveg;2850.0;2310.0;1405.0;2169.0;8734;True;Domestic;Europe;Stockholm Arlanda;59.6519;17.9186;62.0360709;14.3598392
2024;Stockholm Arlanda Airport;Sweden;Sälen;274.0;;;;274;True;Domestic;Europe;Stockholm Arlanda;59.6519;17.9186;61.1557237;13.2694088
2024;Stockholm Arlanda Airport;Sweden;Torsby;982.0;1103.0;910.0;1204.0;4199;True;Domestic;Europe;Stockholm Arlanda;59.6519;17.9186;60.5;13.083333
2024;Stockholm Arlanda Airport;Sweden;Trollhättan;;;;295.0;295;True;Domestic;Europe;Stockholm Arlanda;59.6519;17.9186;58.2827931;12.2908612
2024;Stockholm Arlanda Airport;Sweden;Umeå;117758.0;148724.0;135938.0;149268.0;551688;True;Domestic;Europe;Stockholm Arlanda;59.6519;17.9186;63.8256568;20.2630745
2024;Stockholm Arlanda Airport;Sweden;Vilhelmina;4803.0;4669.0;4056.0;4392.0;17920;True;Domestic;Europe;Stockholm Arlanda;59.6519;17.9186;64.833333;16.0
2024;Stockholm Arlanda Airport;Sweden;Visby;6687.0;28634.0;42098.0;6334.0;83753;True;Domestic;Europe;Stockholm Arlanda;59.6519;17.9186;57.6379361;18.297982
